연도,월,지역,태양광,풍력,전기저장장치(태양광),전기저장장치(풍력),ESS연계설비용량_MW
2025,5,경기도,473.606,5.25,40.018,0.1,40.118
2025,5,강원도,782.456,631.318,136.404,9.0,145.404
2025,5,경상남도,686.279,101.78,63.155,5.0,68.155
2025,5,경상북도,937.205,641.43,119.191,31.8,150.991
2025,5,전라남도,3337.1,555.175,796.932,20.25,817.182
2025,5,전라북도,924.218,79.5,118.37,1.2,119.57000000000001
2025,5,충청남도,1673.292,2.0,223.632,0.0,223.632
2025,5,충청북도,440.118,0.0,87.123,0.0,87.123
2025,5,제주도,510.434,10446.17,14.339,22.5,36.839
2025,5,서울시,18.488,0.0,0.25,0.0,0.25
2025,5,인천시,95.209,49.0,11.45,8.0,19.45
2025,5,대전시,19.944,0.0,0.08,0.0,0.08
2025,5,광주시,87.717,0.0,4.97,0.0,4.97
2025,5,대구시,121.692,11.55,11.7,3.2,14.899999999999999
2025,5,세종시,40.714,0.0,3.25,0.0,3.25
2025,5,울산시,72.962,0.0,0.825,0.0,0.825
2025,5,부산시,150.4,0.75,6.15,0.0,6.15
