hour,avg_solar_trade_mwh
1,0.24363121917808217
2,0.0310713698630137
3,0.013534983561643834
4,0.013164361643835618
5,0.00623789589041096
6,1.0556098712328768
7,36.20991142191781
8,192.29047986027396
9,507.1242215452055
10,867.0702828876713
11,1041.6696441589042
12,1196.1432808547945
13,1295.213467210959
14,1349.8877049150685
15,1296.1016275232876
16,1081.2992106767122
17,883.9099792849315
18,677.896041490411
19,471.29546256712325
20,337.3500087452055
21,211.70804538356163
22,79.80616803013699
23,16.614309986301368
24,1.8708611205479453
